Dates,Dem_trifecta,Rep_Trifecta,None
2020-07-07,10.53,23.94,9.52
2020-07-08,10.80,24.16,9.71
2020-07-09,10.79,24.66,10.00
2020-07-10,10.72,25.26,10.52
2020-07-11,10.99,26.62,11.21
2020-07-12,11.56,27.79,11.61
2020-07-13,11.26,28.35,12.00
2020-07-14,11.53,28.71,12.37
2020-07-15,11.61,29.19,12.78
2020-07-16,12.07,29.41,13.03
2020-07-17,12.41,30.02,13.00
2020-07-18,12.65,29.82,12.84
2020-07-19,12.74,29.75,13.06
2020-07-20,12.54,29.88,13.50
2020-07-21,12.82,29.50,13.55
2020-07-22,13.13,29.30,13.48
2020-07-23,13.54,29.33,13.57
2020-07-24,13.41,28.89,13.83
2020-07-25,13.82,27.96,13.86
2020-07-26,13.81,27.57,14.16
2020-07-27,13.85,27.18,14.00
2020-07-28,13.58,26.99,13.90
2020-07-29,13.08,26.77,13.67
2020-07-30,12.87,26.23,13.64
2020-07-31,12.87,25.83,13.46
2020-08-01,12.18,25.84,13.48
2020-08-02,12.24,25.30,13.12
2020-08-03,12.05,24.69,12.90
2020-08-04,11.78,24.00,13.29
2020-08-05,11.26,23.53,13.18
2020-08-06,10.58,22.96,12.82
2020-08-07,10.55,22.37,12.86
2020-08-08,10.67,21.79,12.86
2020-08-09,10.50,21.53,12.75
2020-08-10,10.71,21.45,12.27
2020-08-11,11.64,21.74,11.70
2020-08-12,12.39,21.10,11.55
2020-08-13,12.59,20.59,11.85
2020-08-14,12.60,20.06,11.64
2020-08-15,13.15,19.66,11.46
2020-08-16,13.15,19.34,11.14
2020-08-17,12.95,19.35,11.09
2020-08-18,11.93,18.55,10.81
2020-08-19,11.29,18.30,10.77
2020-08-20,11.07,18.06,10.54
2020-08-21,10.68,17.61,10.27
2020-08-22,10.02,17.15,10.44
2020-08-23,9.81,16.80,10.43
2020-08-24,9.64,16.20,10.64
2020-08-25,9.57,16.09,10.73
2020-08-26,9.51,15.98,10.99
2020-08-27,9.33,16.21,10.98
2020-08-28,9.30,16.14,11.01
2020-08-29,8.98,16.16,11.14
